Zeit;Normalkraft
105168;1,961002E+16
10517;1,973202E+15
105172;1,954902E+15
105174;1,954902E+15
105176;1,964052E+16
105178;1,970152E+16
10518;1,967102E+16
105182;1,964052E+16
105184;1,961002E+16
105186;1,970152E+16
105188;1,961002E+16
10519;1,957952E+15
105192;1,964052E+16
105194;1,970152E+16
105196;1,954902E+15
105198;1,964052E+16
1052;1,967102E+16
105202;1,964052E+16
105204;1,961002E+16
105206;1,964052E+16
105208;1,964052E+16
10521;1,961002E+16
105212;1,951853E+16
105214;1,967102E+16
105216;1,973202E+15
105218;1,957952E+15
10522;1,967102E+16
105222;1,965577E+15
105224;1,964052E+16
105226;1,954902E+15
105228;1,964052E+16
10523;1,970152E+16
105232;1,939653E+16
105234;1,954902E+15
105236;1,967102E+16
105238;1,973202E+15
10524;1,961002E+16
105242;1,954902E+15
105244;1,973202E+15
105246;1,976252E+15
105248;1,961002E+16
10525;1,964052E+16
105252;1,961002E+16
105254;1,961002E+16
105256;1,961002E+16
105258;1,967102E+16
10526;1,967102E+16
105262;1,965577E+15
105264;1,964052E+16
105266;1,961002E+16
105268;1,970152E+16
10527;1,967102E+16
105272;1,957952E+15
105274;1,967102E+16
105276;1,970152E+16
105278;1,954902E+15
10528;1,970152E+16
105282;1,948803E+16
105284;1,957952E+15
105286;1,964052E+16
105288;1,970152E+16
10529;1,967102E+16
105292;1,957952E+15
105294;1,957952E+15
105296;1,970152E+16
105298;1,970152E+16
1053;1,957952E+15
105302;1,964052E+16
105304;1,970152E+16
105306;1,957952E+15
105308;1,957952E+15
10531;1,967102E+16
105312;1,970152E+16
105314;1,967102E+16
105316;1,957952E+15
105318;1,967102E+16
10532;1,967102E+16
105322;1,961002E+16
105324;1,961002E+16
105326;1,970152E+16
105328;1,970152E+16
10533;1,957952E+15
105332;1,964052E+16
105334;1,970152E+16
105336;1,961002E+16
105338;1,964052E+16
10534;1,967102E+16
105342;1,961002E+16
105344;1,954902E+15
105346;1,970152E+16
105348;1,970152E+16
10535;1,985402E+15
105352;1,974727E+15
105354;1,964052E+16
105356;1,967102E+16
105358;1,964052E+16
10536;1,957952E+15
105362;1,955919E+15
105364;1,953886E+15
105366;1,951853E+16
